"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 02 12:02:32 GMT 2023","Mon Jan 02 12:02:32 GMT 2023","173","Pet","","","","","When I search for available dogs",""
"passed","Mon Jan 02 12:02:32 GMT 2023","Mon Jan 02 12:02:32 GMT 2023","66","Pet","","","","","Given a pet dog is available in the store",""
"passed","Mon Jan 02 12:02:32 GMT 2023","Mon Jan 02 12:02:32 GMT 2023","64","Pet","","","","","When I search again for Blackie",""
"passed","Mon Jan 02 12:02:32 GMT 2023","Mon Jan 02 12:02:32 GMT 2023","65","Pet","","","","","When I delete Blackie's record",""
"passed","Mon Jan 02 12:02:32 GMT 2023","Mon Jan 02 12:02:32 GMT 2023","70","User","","","","","When I search for a user",""
"passed","Mon Jan 02 12:02:32 GMT 2023","Mon Jan 02 12:02:32 GMT 2023","66","Pet","","","","","When I search for Blackie",""
"passed","Mon Jan 02 12:02:32 GMT 2023","Mon Jan 02 12:02:32 GMT 2023","71","Pet","","","","","When I update Blackie's status to sold",""
"passed","Mon Jan 02 12:02:31 GMT 2023","Mon Jan 02 12:02:32 GMT 2023","302","User","","","","","When I create a User",""
"passed","Mon Jan 02 12:02:32 GMT 2023","Mon Jan 02 12:02:32 GMT 2023","70","User","","","","","When I try to Login",""
